School,Type_of_Organization,County,School_District,School_City,School_Zip_Code,School_Street,Number_of_Outlets_LT_15_ppb,Number_of_Outlets_GT_15_ppb,Any_Buildings_with_Lead_Free_Plumbing,Out_of_Service,Latitude,Longitude,Median_HH_income,County_population,County_White,County_Black_AfAm,County_Asian,County_Hispanic_Latino
Q199,Public School,Queens,NYC DOE,Queens,11104,39-20 48 AVENUE,99,0,No,No,40.739831, -73.926081,54188,2230722,616727,395881,508334,613750
SCHOOL 2,Public School,Nassau,OCEANSIDE UNION FREE SCHOOL,OCEANSIDE,11572,TERRELL AVE,39,0,No,Yes,40.715749, -73.601185,96756,1339532,877309,141305,101558,195355
GENESEE VALLEY BOCES-CG MAY CENTER,BOCES School,Livingston,BOCES No District Name,MT MORRIS,14510,27 LACKAWANNA AVE,77,3,No,Yes,42.763754, -77.765392,43500,65393,60296,1491,780,1802
Q297,Public School,Queens,NYC DOE,Queens,11372,33-55 74TH STREET,50,0,No,No,40.753829, -73.892623,47750,2230722,616727,395881,508334,613750
M052,Public School,New York,NYC DOE,Manhattan,10034,650 ACADEMY STREET,85,0,No,No,40.865556, -73.925464,43049,1585873,761493,205340,177624,403577
HIGHVIEW SCHOOL,Public School,Westchester,GREENBURGH CENTRAL SCHOOL,HARTSDALE,10530,200 N CENTRAL AVE,25,10,No,Yes,41.039278, -73.805386,93320,949113,544563,126585,51123,207032
CATTARAUGUS-ALLEGANY-ERIE-WYOMING BOCES AF HAYES CENTER (LEAD ONLY),BOCES School,Cattaraugus,BOCES No District Name,BELMONT,14813,5536 COUNTY ROAD 48,NA,NA,No,No,42.224267, -78.606673,43488,80317,73849,966,524,1345
TOMPKINS-SENECA-TIOGA BOCES CTE GREENHOUSE (LEAD ONLY),BOCES School,Tompkins,BOCES No District Name,ITHACA,14850,555 WARREN ROAD,0,2,No,Yes,42.461024, -76.478784,47022,101564,81490,3773,8680,4264
FORESTPORT ELEM SCHOOL,Public School,Oneida,ADIRONDACK CENT SCH-BOONVILLE,FORESTPORT,13338,10275 STATE ROUTE 28,21,0,No,No,43.149482, -75.361773,50417,234878,199254,13682,6522,10819
WILLIAMSVILLE EAST H S,Public School,Erie,WILLIAMSVILLE CENTRAL SCHOOL,EAST AMHERST,14051,151 PARADISE RD,167,105,No,Yes,42.888143, -78.795544,103592,919040,714156,119916,23621,41731
CONNETQUOT ELEM SCHOOL,Public School,Suffolk,EAST ISLIP UNION FREE SCHOOL,ISLIP TERRACE,11752,1 MERRICK ST,27,0,No,Yes,40.820237, -73.119032,94392,1493350,1068728,102117,50295,246239
CHAMPLAIN VALLEY EDUCATIONAL SERVICES,BOCES School,Clinton,BOCES No District Name,PLATTSBURGH,12901,1585 MILITARY TURNPIKE EXT.,133,11,No,Yes,44.731944, -73.548883,42622,82128,74832,2953,890,2054
SCHOOL 66 JAMES MONROE H S,Public School,Monroe,ROCHESTER CITY SCHOOLS,ROCHESTER,14607,164 ALEXANDER ST,NA,NA,No,No,43.161748, -77.620143,38750,744344,542034,107448,24023,54005
WILLIAM B TECLER ARTS IN EDUCATION MAGNET SCHOOL,Public School,Montgomery,AMSTERDAM CITY SCHOOLS,AMSTERDAM,12010,210 NORTHERN BLVD,24,31,No,Yes,42.933637, -74.341972,43065,50219,42732,712,356,5654
GREATER SOUTHERN TIER BOCES STEM ACADEMY,BOCES School,Schuyler,BOCES No District Name,CORNING,14830,3634 GOFF ROAD,NA,NA,No,No,42.38593, -76.872032,50520,18343,17646,143,51,234
Q781,Public School,Queens,NYC DOE,Queens,11436,120-27 141ST STREET,26,0,No,No,40.675626, -73.799756,60820,2230722,616727,395881,508334,613750
R021,Public School,Richmond,NYC DOE,Staten Island,10303,168 HOOKER PLACE,33,0,No,No,40.631165, -74.144599,50137,468730,300169,44313,34697,81051
ORVILLE A TODD MS,Public School,Dutchess,SPACKENKILL UNION FREE SCHOOL,POUGHKEEPSIE,12603,11 CROFT RD,61,1,No,Yes,41.686216, -73.840468,79371,297488,221812,27395,10330,31267
Q253,Public School,Queens,NYC DOE,Queens,11691,1307 CENTRAL AVENUE,140,0,No,No,40.607247, -73.748799,38631,2230722,616727,395881,508334,613750
MILBURN SCHOOL (LEAD ONLY),Public School,Nassau,BALDWIN UNION FREE SCHOOL,BALDWIN,11510,2501 MILBURN AVENUE,40,4,No,Yes,40.715749, -73.601185,99755,1339532,877309,141305,101558,195355
SOUTH MIDDLE SCHOOL,Public School,Suffolk,BRENTWOOD UNION FREE SCHOOL,BRENTWOOD,11717,785 CANDLEWOOD RD,33,0,No,Yes,40.820237, -73.119032,68937,1493350,1068728,102117,50295,246239
STAMFORD CENTRAL SCHOOL,Public School,Delaware,STAMFORD CENTRAL SCHOOL DISTRICT,STAMFORD,12167,1 RIVER ST,95,0,No,No,42.242972, -74.997944,47679,47980,44706,691,363,1560
RAMAPO S H S,Public School,Rockland,EAST RAMAPO CENTRAL SCHOOL,SPRING VALLEY,10977,400 VIOLA RD,100,77,No,Yes,41.127287, -74.017033,62813,311687,203670,34623,19099,48783
EASTERN SUFFOLK BOCES WHB SPECIAL ED BLDG ANNEX 1 (LEAD ONLY),BOCES School,Suffolk,BOCES No District Name,WESTHAMPTON BEACH,11978,215 OLD RIVERHEAD ROAD,15,0,No,Yes,40.820237, -73.119032,85221,1493350,1068728,102117,50295,246239
TULLY ELEM SCHOOL,Public School,Onondaga,TULLY CENTRAL SCHOOL,TULLY,13159,20 STATE ST,71,0,No,Yes,43.065629, -76.168033,70167,467026,370040,48696,14370,18829
WASHINGTON WEST ES,Public School,Cattaraugus,OLEAN CITY SCHOOLS,OLEAN,14760,1626 WASHINGTON ST,85,0,No,Yes,42.224267, -78.606673,43798,80317,73849,966,524,1345
M167,Public School,New York,NYC DOE,Manhattan,10021,220 EAST 76 STREET,162,0,No,No,40.771541, -73.957827,106236,1585873,761493,205340,177624,403577
Q290,Public School,Queens,NYC DOE,Queens,11385,55-20 METROPOLITAN AVENUE,171,0,No,No,40.71303, -73.908307,51258,2230722,616727,395881,508334,613750
X879,Public School,Bronx,NYC DOE,Bronx,10460,1122 EAST 180 STREET,35,0,No,No,40.841376, -73.875262,22625,1385108,151209,416695,47335,741413
Q113,Public School,Queens,NYC DOE,Queens,11385,78-23 87TH STREET,137,0,No,No,40.705476, -73.861493,51258,2230722,616727,395881,508334,613750
CARYL E ADAMS PRIMARY SCHOOL,Public School,Broome,WHITNEY POINT CENTRAL SCHOOL DISTRICT,WHITNEY POINT,13862,KEIBEL RD,44,0,No,No,42.122015, -75.933191,49511,200600,173074,8850,7019,6778
CENTER MORICHES JSHS,Public School,Suffolk,CENTER MORICHES U F SCH,CTR MORICHES,11934,311 FROWEIN RD,171,1,No,Yes,40.820237, -73.119032,86714,1493350,1068728,102117,50295,246239
PLATTEKILL ELEM SCHOOL,Public School,Ulster,WALLKILL CENTRAL SCHOOL,PLATTEKILL,12568,1270 ROUTE 32,94,0,No,Yes,41.848374, -74.099412,NA,182493,149099,9982,3060,15909
WYOMING CENTRAL SCHOOL,Public School,Wyoming,WYOMING CENTRAL SCHOOL,WYOMING,14591,PO BOX 244,16,0,No,Yes,42.723641, -78.204473,62457,42155,38042,2233,156,1244
K958,Public School,Kings,NYC DOE,Brooklyn,11208,982 HEGEMAN AVENUE,7,0,No,No,40.665817, -73.876084,35665,2504700,893306,799066,260129,496285
ERIE 2 BOCES LOGUIDICE EDUCATIONAL CENTER C BLDG (LEAD ONLY),BOCES School,Erie,BOCES No District Name,FREDONIA,14063,9520 FREDONIA STOCKTON ROAD,6,1,No,Yes,42.888143, -78.795544,47514,919040,714156,119916,23621,41731
PERTH INTERMEDIATE,Public School,Fulton,BROADALBIN-PERTH CENTRAL SCHOOLS,AMSTERDAM,12010,1870 CoHwy 107,38,14,No,Yes,43.06014, -74.331296,43065,55531,52110,981,320,1263
R072,Public School,Richmond,NYC DOE,Staten Island,10314,33 FERNDALE AVENUE,118,0,No,No,40.592132, -74.158618,79820,468730,300169,44313,34697,81051
HOMER BRINK SCHOOL,Public School,Broome,MAINE ENDWELL CENTRAL SCHOOL DISTRICT,ENDWELL,13760,3618 BRIAR LN,120,4,No,Yes,42.122015, -75.933191,51016,200600,173074,8850,7019,6778
K845,Public School,Kings,NYC DOE,Brooklyn,11215,330 18 STREET,71,0,No,No,40.660805, -73.988743,93184,2504700,893306,799066,260129,496285
MAIN STREET SCHOOL,Public School,Westchester,IRVINGTON UNION FREE SCHOOL,IRVINGTON,10533,101 MAIN STREET,28,5,No,Yes,41.039278, -73.805386,123790,949113,544563,126585,51123,207032
CRISPELL MIDDLE SCHOOL,Public School,Orange,PINE BUSH CENTRAL SCHOOL,PINE BUSH,12566,77 MAPLE AVE,84,4,No,Yes,41.422459, -74.241929,85534,372813,254259,33895,8685,67185
CARTHAGE ELEM SCHOOL,Public School,Jefferson,CARTHAGE CENTRAL SCHOOL,CARTHAGE,13619,900 BEAVER LANE,89,0,No,Yes,44.019295, -75.898971,45632,116229,99682,5475,1464,6143
COMSEWOGUE S H S,Public School,Suffolk,BROOKHAVEN-COMSEWOGUE UNION FREE SCHOOL DISTRICT,PT JEFFERSON STA,11776,565 BICYCLE PATH,239,0,No,Yes,40.820237, -73.119032,81156,1493350,1068728,102117,50295,246239
LLOYD HARBOR SCHOOL,Public School,Suffolk,COLD SPRING HARBOR CENTRAL SCH,HUNTINGTON,11743,SCHOOL LN,125,0,No,Yes,40.820237, -73.119032,113535,1493350,1068728,102117,50295,246239
SALEM HIGH SCHOOL,Public School,Washington,SALEM CENTRAL SCHOOL,SALEM,12865,41 E BROADWAY,57,108,No,Yes,43.289513, -73.454761,51750,63216,58996,1734,260,1446
Q416,Public School,Queens,NYC DOE,Queens,11364,57-00 223 STREET,2,0,No,No,40.752343, -73.757271,73079,2230722,616727,395881,508334,613750
WAYNE SENIOR HIGH SCHOOL,Public School,Wayne,WAYNE CENTRAL SCHOOL,ONTARIO CENTER,14520,P.O. BOX 155,71,0,No,No,43.144336, -77.117995,NA,93772,85318,2743,465,3476
Q012,Public School,Queens,NYC DOE,Queens,11377,42-00 72 STREET,141,0,No,No,40.742284, -73.893466,49528,2230722,616727,395881,508334,613750
K299,Public School,Kings,NYC DOE,Brooklyn,11221,88 WOODBINE STREET,121,0,No,No,40.690755, -73.917899,37608,2504700,893306,799066,260129,496285
BARNUM WOODS SCHOOL,Public School,Nassau,EAST MEADOW UNION FREE SCHOOL,EAST MEADOW,11554,500 MAY LANE,47,0,No,Yes,40.715749, -73.601185,93607,1339532,877309,141305,101558,195355
SCHOOL 43 THEODORE ROOSEVELT,Public School,Monroe,ROCHESTER CITY SCHOOLS,ROCHESTER,14606,1305 LYELL AVE,11,0,No,Yes,43.161748, -77.620143,38563,744344,542034,107448,24023,54005
AUBURN JUNION HIGH SCHOOL,Public School,Cayuga,AUBURN CITY SCHOOLS,AUBURN,13021,191 FRANKLIN ST,42,0,No,No,42.940095, -76.560755,47070,80026,73098,3009,387,1896
HAWTHORNE CEDAR KNOLLS HS,Public School,Westchester,HAWTHORNE-CEDAR KNOLLS UFSD,HAWTHORNE,10532,226 LINDA AVE,33,0,No,Yes,41.039278, -73.805386,109891,949113,544563,126585,51123,207032
JOHN F KENNEDY J H S,Public School,Nassau,BETHPAGE UNION FREE SCHOOL,BETHPAGE,11714,BROADWAY,36,0,No,Yes,40.715749, -73.601185,86701,1339532,877309,141305,101558,195355
PAUL J BELLEW ELEM SCHOOL,Public School,Suffolk,WEST ISLIP UNION FREE SCHOOL,WEST ISLIP,11795,HIGBIE LN,101,1,No,Yes,40.820237, -73.119032,108963,1493350,1068728,102117,50295,246239
R008,Public School,Richmond,NYC DOE,Staten Island,10308,112 LINDENWOOD ROAD,62,0,No,No,40.547567, -74.152212,90196,468730,300169,44313,34697,81051
CRAIG HILL ELEM SCHOOL,Public School,Monroe,GREECE CENTRAL SCHOOL,ROCHESTER,14626,320 W CRAIG HILL DR,83,0,No,Yes,43.161748, -77.620143,56480,744344,542034,107448,24023,54005
CHARLES E RILEY ELEM SCHOOL,Public School,Oswego,OSWEGO CITY SCHOOLS,OSWEGO,13126,BUNNER ST,70,16,No,Yes,43.39123, -76.31133,47145,122109,116091,862,709,2552
K611,Public School,Kings,NYC DOE,Brooklyn,11201,19 DOCK STREET,81,0,No,No,40.702952, -73.992076,93693,2504700,893306,799066,260129,496285
X046,Public School,Bronx,NYC DOE,Bronx,10458,279 EAST 196 STREET,44,0,No,No,40.867169, -73.890402,24478,1385108,151209,416695,47335,741413
GLOVERSVILLE MIDDLE SCHOOL,Public School,Fulton,GLOVERSVILLE ENLARGED SCHOOL DISTRICT,GLOVERSVILLE,12078,234 LINCOLN ST,49,0,No,No,43.06014, -74.331296,41455,55531,52110,981,320,1263
WOODGLEN ELEM SCHOOL,Public School,Rockland,CLARKSTOWN CENTRAL SCHOOL,NEW CITY,10956,121 PHILIPS HILL RD,65,18,No,Yes,41.127287, -74.017033,119022,311687,203670,34623,19099,48783
Q426,Public School,Queens,NYC DOE,Queens,11367,63-25 MAIN STREET,5,0,No,No,40.737448, -73.823841,52199,2230722,616727,395881,508334,613750
X961,Public School,Bronx,NYC DOE,Bronx,10456,1110 BOSTON ROAD,11,0,No,No,40.827455, -73.90392,22604,1385108,151209,416695,47335,741413
IDLE HOUR ELEM SCHOOL,Public School,Suffolk,CONNETQUOT CENT SCH OF ISLIP,OAKDALE,11769,334 IDLE HOUR BLVD,44,0,No,Yes,40.820237, -73.119032,96844,1493350,1068728,102117,50295,246239
OGDEN ELEM SCHOOL,Public School,Nassau,HEWLETT WOODMERE PUBLIC SCHOOLS,VALLEY STREAM,11581,LONGVIEW AVE,19,0,No,Yes,40.715749, -73.601185,102135,1339532,877309,141305,101558,195355
WESTHAMPTON J H S,Public School,Suffolk,WESTHAMPTON BEACH U F S,W HAMPTON BEACH,11978,MILL RD,114,0,No,Yes,40.820237, -73.119032,85221,1493350,1068728,102117,50295,246239
GREATER SOUTHERN TIER BOCES BUSH BLDG 12 (LEAD ONLY),BOCES School,Schuyler,BOCES No District Name,ELMIRA,14903,459 PHILIO ROAD,6,0,No,Yes,42.38593, -76.872032,43931,18343,17646,143,51,234
PETROVA ELEMENTARY SCH,Public School,Franklin,SARANAC LAKE CENTRAL SCHOOL,SARANAC LAKE,12983,79 CANARAS AVE,33,0,No,Yes,44.705699, -74.340621,46767,51599,42640,2834,215,1506
X240,Public School,Bronx,NYC DOE,Bronx,10452,1501 JEROME AVENUE,154,0,No,No,40.842503, -73.916084,26636,1385108,151209,416695,47335,741413
Q822,Public School,Queens,NYC DOE,Queens,11412,114-36 202 STREET,12,0,No,No,40.69894, -73.752694,71292,2230722,616727,395881,508334,613750
JEFFERSON JHS,Public School,Chautauqua,JAMESTOWN CITY SCHOOL DISTRICT,JAMESTOWN,14701,195 MARTIN RD,40,1,No,Yes,42.246904, -79.315313,35966,134905,120463,2763,676,8241
NEWFANE MIDDLE SCHOOL,Public School,Niagara,NEWFANE CENTRAL SCHOOL,NEWFANE,14108,2700 TRANSIT RD,108,5,No,Yes,43.134634, -78.856419,54041,216469,188907,14511,1807,4694
MAMARONECK H.S.,Public School,Westchester,MAMARONECK UNION FREE SCHOOL,MAMARONECK,10543,1000 W. Boston Post Road,261,0,No,Yes,41.039278, -73.805386,88136,949113,544563,126585,51123,207032
X027,Public School,Bronx,NYC DOE,Bronx,10455,519 ST ANNS AVENUE,61,0,No,No,40.813385, -73.913872,21379,1385108,151209,416695,47335,741413
PRESIDENTIAL PARK ELEMENTARY SCHOOL,Public School,Orange,MIDDLETOWN CITY SCHOOLS,MIDDLETOWN,10940,50 ROOSEVELT AVE,288,4,No,Yes,41.422459, -74.241929,60365,372813,254259,33895,8685,67185
FLORAL PARK MEMORIAL H S,Public School,Nassau,SEWANHAKA CENTRAL HIGH SCHOOL,FLORAL PARK,11001,210 LOCUST ST,19,0,No,Yes,40.715749, -73.601185,101537,1339532,877309,141305,101558,195355
BEREA ELEM SCHOOL,Public School,Orange,VALLEY CENT SCH-MONTGOMERY,MONTGOMERY,12549,946 STATE RT 17K,77,37,No,Yes,41.422459, -74.241929,75826,372813,254259,33895,8685,67185
K027,Public School,Kings,NYC DOE,Brooklyn,11231,27 HUNTINGTON STREET,112,0,No,No,40.677914, -74.005151,71999,2504700,893306,799066,260129,496285
ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES ALBANY CENTER BLDG E (LEAD ONLY),BOCES School,Albany,BOCES No District Name,ALBANY,12205,1015 WATERVLIET SHAKER ROAD,3,3,No,Yes,42.678066, -73.814233,64953,304204,231152,36396,14500,14917
TECH VALLEY HIGH SCHOOL,BOCES School,Rensselaer,BOCES No District Name,ALBANY,12203,246 TRICENTENNIAL DRIVE,0,0,This school has one or more lead-free buildings,No,42.70098, -73.628669,54035,159429,136555,9592,3469,6080
HEMPSTEAD H S,Public School,Nassau,HEMPSTEAD UNION FREE SCHOOL,HEMPSTEAD,11550,201 President St,149,19,No,Yes,40.715749, -73.601185,54776,1339532,877309,141305,101558,195355
HILL SCHOOL,Public School,Monroe,BROCKPORT CENTRAL SCHOOL,BROCKPORT,14420,40 ALLEN ST,94,0,No,Yes,43.161748, -77.620143,55069,744344,542034,107448,24023,54005
"HOLY ROSARY EARLY LEARNING CENTER (LEAD ONLY R1, CLOSED IN 2018)",Public School,Westchester,PORT CHESTER-RYE U F S,PORT CHESTER,10573,18 CENTRAL AVENUE,8,0,No,Yes,41.039278, -73.805386,63931,949113,544563,126585,51123,207032
X311,Public School,Bronx,NYC DOE,Bronx,10462,1684 WHITE PLAINS ROAD,89,0,No,No,40.843531, -73.865498,46001,1385108,151209,416695,47335,741413
X905,Public School,Bronx,NYC DOE,Bronx,10468,2925 GOULDEN AVENUE,11,0,No,No,40.874725, -73.895543,32985,1385108,151209,416695,47335,741413
WHITE PLAINS MS,Public School,Westchester,WHITE PLAINS CITY SCHOOLS,WHITE PLAINS,10605,128 GRANDVIEW AVE,69,0,No,Yes,41.039278, -73.805386,105801,949113,544563,126585,51123,207032
X076,Public School,Bronx,NYC DOE,Bronx,10469,900 ADEE AVENUE,46,0,No,No,40.869059, -73.860928,55724,1385108,151209,416695,47335,741413
M183,Public School,New York,NYC DOE,Manhattan,10065,419 EAST 66 STREET,47,0,No,No,40.763804, -73.957731,109960,1585873,761493,205340,177624,403577
K081,Public School,Kings,NYC DOE,Brooklyn,11221,990 DEKALB AVENUE,172,0,No,No,40.692866, -73.935123,37608,2504700,893306,799066,260129,496285
AVON PRIMARY SCHOOL,Public School,Livingston,AVON CENTRAL SCHOOL DISTRICT,AVON,14414,161 CLINTON ST,44,3,No,Yes,42.763754, -77.765392,63889,65393,60296,1491,780,1802
X043,Public School,Bronx,NYC DOE,Bronx,10454,165 BROWN PLACE,104,0,No,No,40.806452, -73.921593,19271,1385108,151209,416695,47335,741413
FRANKFORT SCHUYLER MIDDLE /HIGH SCHOOL,Public School,Herkimer,FRANKFORT SCHUYLER CENTRAL SCHOOL,FRANKFORT,13340,PALMER ST,142,8,No,Yes,43.070026, -74.994246,49873,64519,61690,640,325,1040
MOUNT PLEASANT MIDDLE SCHOOL,Public School,Schenectady,SCHENECTADY CITY SCHOOLS,SCHENECTADY,12203,1121 FOREST RD,41,24,No,Yes,42.809233, -73.946838,54035,154727,119409,13528,4917,8827
EAST LAKE ELEM SCHOOL,Public School,Nassau,MASSAPEQUA UNION FREE SCHOOL,MASSAPEQUA PARK,11762,E LAKE AVE,49,0,No,Yes,40.715749, -73.601185,109453,1339532,877309,141305,101558,195355
E A MC ALLISTER ELEM SCHOOL,Public School,Oneida,SHERRILL CITY SCHOOLS,SHERRILL,13461,217 KINSLEY ST,52,1,No,Yes,43.149482, -75.361773,59537,234878,199254,13682,6522,10819
K776,Public School,Kings,NYC DOE,Brooklyn,11210,1087 OCEAN AVENUE,25,0,No,No,40.636106, -73.957794,54664,2504700,893306,799066,260129,496285
K105,Public School,Kings,NYC DOE,Brooklyn,11219,1031 59 STREET,80,0,No,No,40.63332, -74.003635,34590,2504700,893306,799066,260129,496285
P S 16,Public School,Rensselaer,TROY CITY SCHOOLS,TROY,12180,40 Collins Ave,50,0,No,Yes,42.70098, -73.628669,47418,159429,136555,9592,3469,6080
K411,Public School,Kings,NYC DOE,Brooklyn,11235,2800 OCEAN PARKWAY,19,0,No,No,40.582627, -73.968733,42298,2504700,893306,799066,260129,496285
K034,Public School,Kings,NYC DOE,Brooklyn,11222,131 NORMAN AVENUE,27,0,No,No,40.726378, -73.949756,62634,2504700,893306,799066,260129,496285
SCHUYLERVILLE  S H S,Public School,Saratoga,SCHUYLERVILLE CENTRAL SCHOOL,SCHUYLERVILLE,12871,14-18 Spring St,138,12,No,Yes,43.00894, -73.786779,60519,219607,203647,3053,3880,5279
OXHEAD ROAD SCHOOL,Public School,Suffolk,MIDDLE COUNTRY CENTRAL SCHOOL DISTRICT,CENTEREACH,11720,144 OXHEAD RD,31,0,No,Yes,40.820237, -73.119032,94307,1493350,1068728,102117,50295,246239
M058,Public School,New York,NYC DOE,Manhattan,10019,317 WEST 52ND STREET,80,0,No,No,40.764129, -73.985899,80519,1585873,761493,205340,177624,403577
CHAZY CENTRAL RURAL JSHS,Public School,Clinton,CHAZY UNION FREE SCHOOL,CHAZY,12921,609 MINER FARM RD,28,2,No,Yes,44.731944, -73.548883,56996,82128,74832,2953,890,2054
NEW HYDE PARK ROAD SCHOOL,Public School,Nassau,NEW HYDE PK-GARDEN CITY PK UFSD,NEW HYDE PARK,11040,NEW HYDE PARK RD,12,0,No,Yes,40.715749, -73.601185,99793,1339532,877309,141305,101558,195355
K232,Public School,Kings,NYC DOE,Brooklyn,11203,905 WINTHROP STREET,83,0,No,No,40.659088, -73.928744,49002,2504700,893306,799066,260129,496285
X826,Public School,Bronx,NYC DOE,Bronx,10453,1950 SEDGWICK AVENUE,98,0,No,No,40.855822, -73.916076,26120,1385108,151209,416695,47335,741413
R455,Public School,Richmond,NYC DOE,Staten Island,10312,100 LUTEN AVENUE,213,0,No,No,40.528152, -74.193431,87426,468730,300169,44313,34697,81051
MAYNARD P WILSON SCHOOL,Public School,Jefferson,SOUTH JEFFERSON CENTRAL SCHOOL,ADAMS,13605,13180 US RT 11,143,2,No,Yes,44.019295, -75.898971,47744,116229,99682,5475,1464,6143
K729,Public School,Kings,NYC DOE,Brooklyn,11234,3874 FLATLANDS AVENUE,28,0,No,No,40.619891, -73.935842,68177,2504700,893306,799066,260129,496285
WEBUTUCK HIGH SCHOOL,Public School,Dutchess,NORTHEAST CENTRAL SCHOOL DISTRICT,AMENIA,12501,HAIGHT RD,47,2,No,Yes,41.686216, -73.840468,61875,297488,221812,27395,10330,31267
LIVONIA ELEMENTARY SCHOOL,Public School,Livingston,LIVONIA CENTRAL SCHOOL,LIVONIA,14487,6 PUPPY LN,123,0,No,Yes,42.763754, -77.765392,65997,65393,60296,1491,780,1802
Q988,Public School,Queens,NYC DOE,Queens,11433,109-20 UNION HALL STREET,4,2,No,Yes,40.749338, -73.789673,43419,2230722,616727,395881,508334,613750
PRATTSBURG CENTRAL SCHOOL,Public School,Steuben,PRATTSBURG CENTRAL SCHOOL,PRATTSBURG,14873,1 ACADEMY ST,80,0,No,Yes,42.270053, -77.324618,47656,98990,93476,1487,1151,1371
ENDERS ROAD ELEM SCHOOL,Public School,Onondaga,FAYVILL-MANLIUS CENT SCH,MANLIUS,13104,4725 ENDERS RD,98,0,No,Yes,43.065629, -76.168033,89906,467026,370040,48696,14370,18829
A. G. BERNER MIDDLE SCHOOL,Public School,Nassau,MASSAPEQUA UNION FREE SCHOOL,MASSAPEQUA,11758,CARMAN RD,50,0,No,Yes,40.715749, -73.601185,105349,1339532,877309,141305,101558,195355
NORTH RIDGE SCHOOL,Public School,Suffolk,COMMACK UNION FREE SCHOOL,COMMACK,11725,TOWNLINE RD,104,0,No,Yes,40.820237, -73.119032,108906,1493350,1068728,102117,50295,246239
M200,Public School,New York,NYC DOE,Manhattan,10039,2589 7 AVENUE,102,0,No,No,40.823988, -73.935746,35710,1585873,761493,205340,177624,403577
GOLDEN HILL ELEMENTARY SCHOOL,Public School,Orange,FLORIDA UNION FREE SCHOOL,FLORIDA,10921,478 ROUND HILL RD,85,1,No,Yes,41.422459, -74.241929,76322,372813,254259,33895,8685,67185
LINCOLN AVE SCHOOL,Public School,Rockland,PEARL RIVER UNION FREE SCHOOL,PEARL RIVER,10965,115 LINCOLN AVE,69,2,No,Yes,41.127287, -74.017033,100324,311687,203670,34623,19099,48783
K369,Public School,Kings,NYC DOE,Brooklyn,11217,383 STATE STREET,34,0,No,No,40.687432, -73.983312,78591,2504700,893306,799066,260129,496285
GOSHEN INTERMEDIATE SCHOOL,Public School,Orange,GOSHEN CENTRAL SCHOOL,Goshen,10924,13 McNally St,81,8,No,Yes,41.422459, -74.241929,86310,372813,254259,33895,8685,67185
HANNIBAL HIGH SCHOOL,Public School,Oswego,HANNIBAL CENTRAL SCHOOL,HANNIBAL,13074,HANNIBAL HIGH SCHOOL,70,8,No,Yes,43.39123, -76.31133,48338,122109,116091,862,709,2552
K296,Public School,Kings,NYC DOE,Brooklyn,11207,125 COVERT STREET,83,0,No,No,40.688647, -73.910589,32642,2504700,893306,799066,260129,496285
K100,Public School,Kings,NYC DOE,Brooklyn,11224,2951 WEST 3 STREET,71,0,No,No,40.577591, -73.97083,31415,2504700,893306,799066,260129,496285
K994,Public School,Kings,NYC DOE,Brooklyn,11216,1119 BEDFORD AVENUE,28,0,No,No,40.685486, -73.953692,41688,2504700,893306,799066,260129,496285
ONTARIO-SENECA-YATES-CAYUGA-WAYNE BOCES WILLIAMSON BLDG B (LEAD ONLY,BOCES School,Ontario,BOCES No District Name,WILLIAMSON,14589,4440 RIDGE ROAD,6,2,No,Yes,42.894571, -77.252045,57169,107931,99119,2226,1111,3679
PITTSFORD MENDON H S,Public School,Monroe,PITTSFORD CENTRAL SCHOOL,PITTSFORD,14534,MENDON RD,94,22,No,Yes,43.161748, -77.620143,104975,744344,542034,107448,24023,54005
K747,Public School,Kings,NYC DOE,Brooklyn,11228,21 BAY 11TH STREET,60,0,No,No,40.609976, -74.008608,61213,2504700,893306,799066,260129,496285
X111,Public School,Bronx,NYC DOE,Bronx,10466,3740 BAYCHESTER AVENUE,158,0,No,No,40.884371, -73.839288,44038,1385108,151209,416695,47335,741413
K270,Public School,Kings,NYC DOE,Brooklyn,11205,241 EMERSON PLACE,106,0,No,No,40.691275, -73.961134,42434,2504700,893306,799066,260129,496285
HORNELL MIDDLE SCHOOL,Public School,Steuben,HORNELL CITY SCHOOLS,HORNELL,14843,71 BUFFALO ST,58,0,No,Yes,42.270053, -77.324618,39076,98990,93476,1487,1151,1371
BALMVILLE SCHOOL,Public School,Orange,NEWBURGH ENLARGED CITY SCHOOL DISTRICT,NEWBURGH,12550,5144 ROUTE 9W,61,4,No,Yes,41.422459, -74.241929,55036,372813,254259,33895,8685,67185
MARION ELEM SCHOOL,Public School,Wayne,MARION CENTRAL SCHOOL,MARION,14505,3863 MAIN ST,33,24,No,Yes,43.144336, -77.117995,58843,93772,85318,2743,465,3476
EAST HAMPTON MIDDLE SCHOOL,Public School,Suffolk,EAST HAMPTON UNION FREE SCHOOL,EAST HAMPTON,11937,76 NEWTOWN LN,28,0,No,Yes,40.820237, -73.119032,74758,1493350,1068728,102117,50295,246239
Q190,Public School,Queens,NYC DOE,Queens,11375,68-17 AUSTIN STREET,97,0,No,No,40.723478, -73.8517,72538,2230722,616727,395881,508334,613750
WOODLAND ELEM SCHOOL,Public School,Onondaga,EAST SYRACUSE-MINOA CENTRAL SCHOOL,EAST SYRACUSE,13057,6316 FREMONT RD,74,0,No,No,43.065629, -76.168033,54819,467026,370040,48696,14370,18829
