School,Type_of_Organization,County,School_District,School_City,School_Zip_Code,School_Street,Number_of_Outlets_LT_15_ppb,Number_of_Outlets_GT_15_ppb,Any_Buildings_with_Lead_Free_Plumbing,Out_of_Service,Latitude,Longitude,Median_HH_income,County_population,County_White,County_Black_AfAm,County_Asian,County_Hispanic_Latino
NORTHEAST SCHOOL,Public School,Suffolk,AMITYVILLE UNION FREE SCHOOL,AMITYVILLE,11701,420 ALBANY AVE,29,0,No,Yes,40.820237, -73.119032,68538,1493350,1068728,102117,50295,246239
FISHERS ISLAND SCHOOL,Public School,Suffolk,FISHERS ISLAND CENTRAL SCHOOL,FISHERS ISLAND,6390,GREENWOOD RD,26,0,This school has one or more lead-free buildings,No,40.820237, -73.119032,NA,1493350,1068728,102117,50295,246239
JOHN JAY MIDDLE SCHOOL,Public School,Westchester,KATONAH LEWISBORO U F S,KATONAH,10536,40 NORTH SALEM RD,97,0,No,Yes,41.039278, -73.805386,155802,949113,544563,126585,51123,207032
WALLKILL MIDDLE SCHOOL,Public School,Ulster,WALLKILL CENTRAL SCHOOL,WALLKILL,12589,109 BONA VENTURE AVE,51,0,No,Yes,41.848374, -74.099412,72648,182493,149099,9982,3060,15909
K051,Public School,Kings,NYC DOE,Brooklyn,11215,350 5 AVENUE,88,0,No,No,40.672358, -73.98505,93184,2504700,893306,799066,260129,496285
Q855,Public School,Queens,NYC DOE,Queens,11373,80-55 CORNISH AVENUE,4,0,No,No,40.739651, -73.882443,44964,2230722,616727,395881,508334,613750
WARSAW J S H S,Public School,Wyoming,WARSAW CENTRAL SCHOOL,WARSAW,14569,81 COURT ST,54,0,No,Yes,42.723641, -78.204473,41466,42155,38042,2233,156,1244
Q045,Public School,Queens,NYC DOE,Queens,11436,126-28 150 STREET,52,0,No,No,40.671871, -73.788866,60820,2230722,616727,395881,508334,613750
IRONDEQUOIT S H S,Public School,Monroe,WEST IRONDEQUOIT CENTRAL SCHOOL,ROCHESTER,14617,260 COOPER RD,139,0,No,Yes,43.161748, -77.620143,60741,744344,542034,107448,24023,54005
W KENNETH DOYLE MIDDLE SCHOOL,Public School,Rensselaer,TROY CITY SCHOOLS,TROY,12180,1976 BURDETT AVE,142,0,No,Yes,42.70098, -73.628669,47418,159429,136555,9592,3469,6080
ARKPORT ELEM SCHOOL,Public School,Steuben,ARKPORT CENTRAL SCHOOL,ARKPORT,14807,35 EAST AVE,84,0,No,Yes,42.270053, -77.324618,47206,98990,93476,1487,1151,1371
OWEGO FREE ACADEMY,Public School,Tioga,OWEGO APALACHIN CENTRAL SCHOOL,OWEGO,13827,1 SHELDON GUILE BLVD,115,39,No,Yes,42.120252, -76.29595,58715,51125,49105,349,371,694
WALBERTA PARK PRIMARY SCHOOL,Public School,Onondaga,WESTHILL CENTRAL SCHOOL,SYRACUSE,13219,400 WALBERTA RD,72,6,No,Yes,43.065629, -76.168033,58407,467026,370040,48696,14370,18829
GRAND AVENUE SCHOOL,Public School,Nassau,UNIONDALE UNION FREE SCHOOL,NO BALDWIN,11510,711 SCHOOL DR,28,0,No,Yes,40.715749, -73.601185,99755,1339532,877309,141305,101558,195355
VICTOR INTERMEDIATE SCHOOL,Public School,Ontario,VICTOR CENTRAL SCHOOL,VICTOR,NA,VICTOR INTERMEDIATE SCHOOL,167,0,No,Yes,42.894571, -77.252045,NA,107931,99119,2226,1111,3679
CHARLES CAMPAGNE SCHOOL,Public School,Nassau,BETHPAGE UNION FREE SCHOOL,BETHPAGE,11714,PLAINVIEW RD,23,0,No,Yes,40.715749, -73.601185,86701,1339532,877309,141305,101558,195355
CATTARAUGUS-LITTLE VALLEY MS,Public School,Cattaraugus,CATTARAUGUS-LITTLE VALLEY CSD,CATTARAUGUS,14719,25 FRANKLIN ST N,32,2,No,Yes,42.224267, -78.606673,42109,80317,73849,966,524,1345
VILLAGE SCHOOL,Public School,Nassau,SYOSSET CENTRAL SCHOOL,SYOSSET,11791,90 CONVENT RD,31,0,No,Yes,40.715749, -73.601185,137796,1339532,877309,141305,101558,195355
X025,Public School,Bronx,NYC DOE,Bronx,10455,811 EAST 149 STREET,35,0,No,No,40.812895, -73.905751,21379,1385108,151209,416695,47335,741413
SKANO ELEM SCHOOL,Public School,Saratoga,SHENENDEHOWA CENTRAL SCHOOL,CLIFTON PARK,12065,970 ROUTE 146,69,10,No,Yes,43.00894, -73.786779,77931,219607,203647,3053,3880,5279
LADDIE A DECKER SOUND BEACH SCHOOL,Public School,Suffolk,MILLER PLACE UNION FREE SCHOOL,MILLER PLACE,11764,197 NORTH COUNTRY RD,49,0,No,Yes,40.820237, -73.119032,118066,1493350,1068728,102117,50295,246239
ROXBORO ROAD ELEM SCHOOL,Public School,Onondaga,NORTH SYRACUSE CENTRAL SCHOOL,MATTYDALE,13211,200 BERNARD ST,117,0,No,No,43.065629, -76.168033,43880,467026,370040,48696,14370,18829
